iter	Logloss
0	0.5954740619
1	0.5254007376
2	0.472723738
3	0.4277439769
4	0.3937171618
5	0.3704407248
6	0.3511939854
7	0.3367433713
8	0.3249912032
9	0.3162016065
10	0.3100011838
11	0.305138751
12	0.2999908812
13	0.2956369895
14	0.2927765703
15	0.2896773806
16	0.2870001543
17	0.2845530474
18	0.2827442661
19	0.2817094337
20	0.2806728292
21	0.2791611965
22	0.2779814473
23	0.277183654
24	0.2760768073
25	0.2754693884
26	0.27480248
27	0.27	0.27632428	0.28	0.27562729	0.29	0.27511530	0.2728511576
31	0.31	0.27408732	0.32	0.27352033	0.33	0.2730834	0.234	0.2726235	0.235	0.2723236	0.236	0.2719737	0.237	0.2715545034
38	0.2712656396
39	0.270840	0.2640	0.2706610451
41	0.2704300333
42	0.269768062
43	0.2694874416
44	0.2693166662
45	0.2688910709
46	0.2683715774
47	0.2680548966
48	0.2676710979
49	0.2673462273
50	0.2671257284
51	0.2666020098
52	0.2663202924
53	0.2658545175
54	0.2655270076
55	0.2651967381
56	0.26457	0.26357	0.2646991283
58	0.2643743656
59	0.2641294183
60	0.2640348904
61	0.2639070522
62	0.2637273575
63	0.2634651802
64	0.2632240652
65	0.2629088241
66	0.262654778
67	0.2625342356
68	0.2623383327
69	0.2619826906
70	0.2617701983
71	0.2615103648
72	0.2612979196
73	0.2611067346
74	0.2609543559
75	0.2607918768
76	0.2605779724
77	0.2604151547
78	0.2602287493
79	0.2601132406
80	0.2599843853
81	0.2596966695
82	0.2594463722
83	0.2593346607
84	0.2590522919
85	0.86	0.2563686	0.258502435
87	0.2582133956
88	0.2580217937
89	0.2577793873
90	0.2591	0.255391	0.2592	0.25592	0.2593	0.25493	0.256574113
94	0.2563675559
95	0.2559959464
96	0.25597	0.25397	0.2556254873
98	0.2553912809
99	0.2552021153
100	0.2549333779
101	0.2547085354
102	0.2545562211
103	0.2542397613
104	0.2540159227
105	0.2537394731
106	0.2534252581
107	0.2531872153
108	0.2527404784
109	0.2525476969
110	0.2521733443
111	0.2519093544
112	0.2515989493
113	0.2513149582
114	0.251115	0.2115	0.2508212322
116	0.2507212821
117	0.2504554211
118	0.2501958966
119	0.2498944591
120	0.2498137906
121	0.2495259778
122	0.2492903947
123	0.2490618896
124	0.2488007004
125	0.2487473378
126	0.2484381859
127	0.248416457
128	0.2480887755
129	0.2479112842
130	0.247679856
131	0.2473703904
132	0.2472018957
133	0.2468713556
134	0.2466027465
135	0.2462915298
136	0.2460132624
137	0.245770886
138	0.2455957455
139	0.2453650207
140	0.2452118022
141	0.2450792639
142	0.2447715369
143	0.2445132254
144	0.2444712676
145	0.2442112159
146	0.2439656367
147	0.2437386431
148	0.2435028513
149	0.2434722209
150	0.2433028876
151	0.2430540688
152	0.2428490985
153	0.2426108617
154	0.2423799306
155	0.2421612327
156	0.2419419941
157	0.2417189275
158	0.2416704047
159	0.2414296676
160	0.2411547707
161	0.2408802931
162	0.2408505496
163	0.2406387706
164	0.240540635
165	0.2402597641
166	0.2400459065
167	0.2397664901
168	0.2395403914
169	0.2392829276
170	0.2391032184
171	0.2389447249
172	0.2386689393
173	0.2384446003
174	0.2382316801
175	0.2380011317
176	0.2377676295
177	0.2375347958
178	0.2373243191
179	0.2371227276
180	0.2368052949
181	0.2366364382
182	0.2363776176
183	0.236210077
184	0.2359987442
185	0.2357956722
186	0.2356031667
187	0.2353700701
188	0.2351707528
189	0.2348941267
190	0.234795679
191	0.2345295738
192	0.2343707201
193	0.2341207417
194	0.2339559291
195	0.2337247196
196	0.23349995
197	0.2333664735
198	0.2331431514
199	0.2330009423
200	0.2329272166
201	0.2327202	0.2202	0.2323203	0.203	0.23217204	0.204	0.23199205	0.205	0.23181206	0.206	0.2315554714
207	0.2312317791
208	0.23104209	0.209	0.23082210	0.210	0.23067211	0.211	0.23051212	0.212	0.23026213	0.213	0.22993214	0.214	0.2297215	0.2215	0.229216	0.22216	0.229217	0.22217	0.229218	0.22218	0.228219	0.22219	0.228220	0.22220	0.228221	0.22221	0.228222	0.22222	0.228223	0.22223	0.227224	0.22224	0.227622735
225	0.2273226	0.226	0.22708227	0.227	0.22684228	0.228	0.22665229	0.229	0.22653230	0.230	0.22627231	0.231	0.22605232	0.232	0.22581233	0.233	0.22559234	0234	0.225320235	0235	0.225050236	0236	0.22473237	0.2226640305
238	0.238	0.22428239	0.222233215
240	0.2220600788
241	0.2218277758
242	0.2217503016
243	0.2215067137
244	0.2212870352
245	0.2211351468
246	0.2209236647
247	0.220661427
248	0.2204239913
249	0.2201767235
250	0.2199275576
251	0.219788187
252	0.2197185707
253	0.219507567
254	0.2191658153
255	0.2190425354
256	0.2187613051
257	0.2186273009
258	0.2184563462
259	0.2183408892
260	0.2182633686
261	0.2181635159
262	0.2179032421
263	0.2177353135
264	0.2175078153
265	0.2174111061
266	0.2171394506
267	0.216937058
268	0.2167324343
269	0.2165717726
270	0.2164091654
271	0.2162694038
272	0.2160446643
273	0.2158949907
274	0.2157681947
275	0.2155957207
276	0.215452104
277	0.2152357676
278	0.2150581728
279	0.2149313613
280	0.2146753384
281	0.2144765763
282	0.2142961006
283	0.214031195
284	0.2139107426
285	0.2137266235
286	0.2135933099
287	0.2133593825
288	0.2131007212
289	0.2129769627
290	0.2127666424
291	0.2126962697
292	0.2124603708
293	0.2122416544
294	0.2120261299
295	0.2116968763
296	0.2115100237
297	0.2111384959
298	0.2109380568
299	0.2107641151
464

